#{"t_start": 1781071071.864104, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,526,53.592328
2.0,836,53.708738
4.0,1140,53.855522
1.0,623,53.936129
0.0,528,54.006407
2.0,897,54.121743
0.0,524,54.190299
7.0,1806,54.418366
1.0,647,54.505554
0.0,516,54.571859
1.0,639,54.65381
2.0,810,54.763461
1.0,712,54.853642
1.0,695,54.943334
1.0,716,55.033954
3.0,1106,55.178514
1.0,721,55.271465
2.0,825,55.383986
2.0,892,55.498828
2.0,838,55.606911
4.0,1218,55.769699
1.0,710,55.860824
0.0,517,55.929268
0.0,533,55.998836
0.0,529,56.06576
0.0,535,56.134675
3.0,1015,56.265396
0.0,533,56.333466
4.0,1285,56.516192
0.0,532,56.589324
2.0,900,56.708267
2.0,890,56.82708
1.0,723,56.921221
0.0,528,56.991755
0.0,513,57.064966
0.0,503,57.133876
2.0,761,57.231829
4.0,1291,57.406288
0.0,521,57.476343
3.0,1079,57.622601
2.0,818,57.739636
0.0,517,57.806554
0.0,534,57.875466
1.0,718,57.966838
1.0,697,58.05847
1.0,705,58.151424
3.0,1018,58.282627
0.0,528,58.350725
2.0,831,58.458572
1.0,646,58.545701
2.0,834,58.654322
3.0,955,58.780846
1.0,617,58.865407
2.0,829,58.970583
1.0,640,59.053185
1.0,693,59.144399
2.0,743,59.243571
0.0,516,59.311032
1.0,618,59.396891
2.0,886,59.516423
0.0,527,59.58371
5.0,1266,59.749686
1.0,623,59.838386
1.0,630,59.929705
0.0,537,60.004344
0.0,524,60.078047
0.0,515,60.151526
2.0,819,60.262529
2.0,890,60.384583
1.0,639,60.467299
0.0,515,60.537134
1.0,700,60.63695
1.0,712,60.733851
4.0,1124,60.889592
1.0,711,60.990541
1.0,713,61.090163
0.0,516,61.1627
2.0,806,61.27581
1.0,645,61.364506
1.0,723,61.486167
1.0,702,61.607533
0.0,519,61.679555
0.0,523,61.752311
0.0,519,61.826954
0.0,513,63.127838
1.0,715,63.461674
3.0,1118,64.03183
1.0,645,64.356473
1.0,715,64.709462
1.0,612,65.028576
0.0,536,65.272929
1.0,723,65.611403
0.0,529,65.860873
1.0,703,66.174308
2.0,930,66.606189
9.0,1636,67.379045
0.0,502,67.596763
0.0,532,67.826946
1.0,705,68.141353
2.0,772,68.480074
0.0,499,68.680774
8.0,1502,69.33994
1.0,647,69.621508
5.0,1322,70.210908
0.0,525,70.419551
4.0,1139,70.912773
0.0,535,71.128659
1.0,717,71.41806
4.0,1210,71.942769
1.0,621,72.217899
0.0,520,72.432103
2.0,806,72.781162
3.0,1030,73.24272
1.0,711,73.533046
1.0,690,73.808997
5.0,1253,74.41249
0.0,514,74.636829
0.0,512,74.87032
6.0,1522,75.62133
2.0,834,75.996418
3.0,1009,76.503632
8.0,1494,77.245353
0.0,523,77.493363
0.0,527,77.730848
2.0,918,77.246965
0.0,515,77.499081
0.0,521,77.745053
1.0,709,78.067291
0.0,530,78.313272
1.0,715,78.662032
1.0,696,78.98378
0.0,527,79.237064
3.0,1009,79.688401
0.0,527,79.940508
1.0,705,80.272655
0.0,524,80.494335
0.0,535,80.710709
0.0,521,80.935715
0.0,527,81.139221
0.0,515,81.384383
2.0,893,81.745804
2.0,911,82.140704
1.0,619,82.409775
4.0,1302,82.970649
0.0,529,83.186675
2.0,905,83.592436
0.0,508,83.821739
2.0,916,84.203765
1.0,697,84.514133
2.0,811,84.866659
1.0,693,85.167368
2.0,902,85.583295
0.0,504,85.800984
1.0,733,86.10595
1.0,644,86.382767
3.0,1108,86.870779
3.0,1004,87.324278
2.0,739,87.641187
0.0,518,87.876844
1.0,704,88.207216
2.0,914,88.628986
2.0,902,89.051176
0.0,526,89.292233
4.0,1283,89.903415
3.0,1074,90.431127
4.0,1198,91.018155
0.0,521,91.244247
1.0,707,91.561746
1.0,623,91.882046
0.0,527,92.125597
0.0,513,92.354774
1.0,654,92.640093
1.0,713,92.970493
0.0,529,93.210517
0.0,526,93.447679
0.0,525,93.687809
3.0,1003,94.187264
0.0,530,94.426015
2.0,843,94.836284
2.0,834,95.220939
3.0,1124,95.698009
3.0,1018,96.164645
0.0,517,96.399384
0.0,523,96.624059
0.0,523,96.837674
2.0,798,97.210743
0.0,512,97.417933
1.0,712,97.730371
1.0,624,98.017391
0.0,525,98.270325
3.0,1029,98.776928
4.0,1202,99.348958
2.0,814,99.706422
0.0,520,99.935585
1.0,695,100.259134
3.0,1013,100.716166
0.0,518,100.95653
3.0,1024,101.410584
1.0,637,101.68069
1.0,628,101.9816
0.0,533,102.224067
2.0,832,102.636765
0.0,528,102.875316
0.0,525,103.103732
2.0,760,103.444447
0.0,526,103.664438
0.0,501,103.847248
1.0,717,104.169433
1.0,629,104.445669
4.0,1293,105.060652
5.0,1405,105.701203
1.0,702,106.021806
0.0,528,106.248699
1.0,635,106.537141
0.0,523,106.763719
1.0,711,107.085458
0.0,529,107.337499
4.0,1138,107.933365
2.0,906,108.364032
1.0,627,108.650729
2.0,899,109.061086
0.0,529,109.328894
1.0,691,108.835275
1.0,694,109.156809
1.0,701,109.47824
0.0,509,109.705202
0.0,509,109.943124
0.0,541,110.177812
0.0,525,110.385739
4.0,1212,110.945326
0.0,541,111.166985
3.0,1019,112.347957
3.0,1118,112.863835
2.0,831,113.251397
1.0,679,113.579215
0.0,501,113.828319
1.0,645,114.10338
2.0,910,114.587662
2.0,818,114.992594
1.0,711,115.32869
0.0,523,115.57447
0.0,516,115.814752
1.0,629,116.136241
2.0,894,116.561628
1.0,722,116.896118
0.0,507,117.119792
0.0,504,117.368547
5.0,1426,118.072875
3.0,947,118.526102
0.0,539,118.742463
1.0,696,119.093745
1.0,726,119.408661
0.0,519,119.628284
2.0,887,120.022274
2.0,799,120.374752
0.0,508,120.602103
4.0,1193,121.16068
1.0,695,121.476048
1.0,712,121.824982
4.0,1184,122.340762
0.0,542,122.583468
2.0,821,122.964571
3.0,957,123.380638
0.0,516,123.589322
0.0,524,123.820228
0.0,512,124.03646
1.0,709,124.353847
0.0,543,124.58635
0.0,502,124.801579
0.0,533,125.04521
1.0,640,125.337869
3.0,1027,125.834959
3.0,1087,126.326509
0.0,528,126.558161
3.0,929,126.987953
0.0,536,127.196019
4.0,1079,127.682657
2.0,776,128.028759
0.0,521,128.264374
2.0,840,128.674148
4.0,1202,129.292461
2.0,894,129.760296
2.0,806,130.139096
2.0,780,130.507859
1.0,707,130.843933
3.0,1004,131.326918
0.0,529,131.591084
0.0,529,131.850096
0.0,520,132.083267
1.0,617,132.375153
0.0,520,132.629265
0.0,539,132.904251
2.0,806,133.305734
1.0,718,133.632256
5.0,1309,134.278615
0.0,527,134.520189
3.0,1108,135.079134
3.0,1026,135.591275
0.0,536,135.841389
4.0,1230,136.447507
0.0,519,136.667433
3.0,1034,137.127442
0.0,524,137.356288
2.0,818,137.714913
0.0,511,137.937447
0.0,527,138.175961
0.0,504,138.405433
0.0,525,138.63343
5.0,1307,139.253067
2.0,827,139.621476
0.0,527,139.860111
2.0,810,140.243404
4.0,1112,140.759916
0.0,515,141.024033
0.0,524,140.404846
0.0,535,140.643661
0.0,533,140.87808
4.0,1224,141.449183
2.0,768,141.804393
0.0,502,142.014285
2.0,745,142.363662
2.0,821,142.711743
0.0,509,142.938863
0.0,527,143.18709
0.0,536,143.457737
0.0,520,143.706394
0.0,515,143.952431
3.0,1020,144.447789
0.0,523,144.702228
0.0,514,144.933831
2.0,802,145.355614
0.0,515,145.618778
